STATEMENT_ID,STATEMENT_DATE,OPERATION_LABEL,ADDITIONAL_LABEL,DEBIT,CREDIT,COMMENTS,RELATED_INVOICE_ID,CREATED_AT,SOURCE_FILENAME,FILE_BLOB,MIME_TYPE,RELATED_EXPENSE_ID,VALUE_DATE,MATCH_TYPE,GROUPED_INVOICE_IDS,ACTUAL_INVOICE_ID
1,2023-10-09,VIREMENT RECU,REF: FAC-2023-90025 - Consulting IT,,1545.44,Paiement facture FAC-2023-90025,1.0,2025-07-28 15:45:43.025891,releve_202310.csv,,text/csv,,2023-10-09,MATCHED,,
2,2024-08-02,VIREMENT RECU,REF: FAC-2024-86851 - Licence logicielle,,4272.98,Paiement facture FAC-2024-86851,3.0,2025-07-28 15:45:43.025891,releve_202408.csv,,text/csv,,2024-08-02,MATCHED,,
3,2025-03-04,VIREMENT RECU,REF: FAC-2025-66587 - Licence logicielle,,5586.52,Paiement facture FAC-2025-66587,4.0,2025-07-28 15:45:43.025891,releve_202503.csv,,text/csv,,2025-03-04,MATCHED,,
4,2025-07-13,VIREMENT RECU,REF: FAC-2025-63894 - Hébergement cloud,,5802.72,Paiement facture FAC-2025-63894,5.0,2025-07-28 15:45:43.025891,releve_202507.csv,,text/csv,,2025-07-13,MATCHED,,
5,2024-10-23,VIREMENT RECU,REF: FAC-2024-17185 - Maintenance SaaS,,23421.15,Paiement facture FAC-2024-17185,6.0,2025-07-28 15:45:43.025891,releve_202410.csv,,text/csv,,2024-10-23,MATCHED,,
6,2025-07-29,VIREMENT RECU,REF: FAC-2025-57981 - Licence logicielle,,11324.64,Paiement facture FAC-2025-57981,8.0,2025-07-28 15:45:43.025891,releve_202507.csv,,text/csv,,2025-07-29,MATCHED,,
7,2024-11-17,VIREMENT RECU,REF: FAC-2024-27465 - Formation technique,,11186.52,Paiement facture FAC-2024-27465,10.0,2025-07-28 15:45:43.025891,releve_202411.csv,,text/csv,,2024-11-17,MATCHED,,
8,2024-08-06,VIREMENT RECU,REF: FAC-2024-42709 - Développement logiciel,,22437.5,Paiement facture FAC-2024-42709,12.0,2025-07-28 15:45:43.025891,releve_202408.csv,,text/csv,,2024-08-06,MATCHED,,
9,2025-02-14,VIREMENT RECU,REF: FAC-2024-56284 - Licence logicielle,,1468.15,Paiement facture FAC-2024-56284,13.0,2025-07-28 15:45:43.025891,releve_202502.csv,,text/csv,,2025-02-14,MATCHED,,
10,2023-12-21,VIREMENT RECU,REF: FAC-2023-27411 - Maintenance SaaS,,4131.0,Paiement facture FAC-2023-27411,16.0,2025-07-28 15:45:43.025891,releve_202312.csv,,text/csv,,2023-12-21,MATCHED,,
11,2023-12-09,VIREMENT RECU,REF: FAC-2023-24871 - Consulting IT,,375.64,Paiement facture FAC-2023-24871,17.0,2025-07-28 15:45:43.025891,releve_202312.csv,,text/csv,,2023-12-09,MATCHED,,
12,2023-12-01,VIREMENT RECU,REF: FAC-2023-32220 - Consulting IT,,10337.22,Paiement facture FAC-2023-32220,18.0,2025-07-28 15:45:43.025891,releve_202312.csv,,text/csv,,2023-12-01,MATCHED,,
13,2024-05-25,VIREMENT RECU,REF: FAC-2024-30462 - Maintenance SaaS,,22377.0,Paiement facture FAC-2024-30462,19.0,2025-07-28 15:45:43.025891,releve_202405.csv,,text/csv,,2024-05-25,MATCHED,,
14,2024-07-27,VIREMENT RECU,REF: FAC-2024-23880 - Licence logicielle,,6537.6,Paiement facture FAC-2024-23880,24.0,2025-07-28 15:45:43.025891,releve_202407.csv,,text/csv,,2024-07-27,MATCHED,,
15,2024-07-01,VIREMENT RECU,REF: FAC-2024-55971 - Formation technique,,2340.58,Paiement facture FAC-2024-55971,34.0,2025-07-28 15:45:43.025891,releve_202407.csv,,text/csv,,2024-07-01,MATCHED,,
16,2025-01-03,VIREMENT RECU,REF: FAC-2024-33924 - Formation technique,,21853.56,Paiement facture FAC-2024-33924,38.0,2025-07-28 15:45:43.025891,releve_202501.csv,,text/csv,,2025-01-03,MATCHED,,
17,2025-03-05,VIREMENT RECU,REF: FAC-2024-02277 - Licence logicielle,,34865.56,Paiement facture FAC-2024-02277,39.0,2025-07-28 15:45:43.025891,releve_202503.csv,,text/csv,,2025-03-05,MATCHED,,
18,2025-01-18,VIREMENT RECU,REF: FAC-2024-26790 - Maintenance SaaS,,38594.8,Paiement facture FAC-2024-26790,41.0,2025-07-28 15:45:43.025891,releve_202501.csv,,text/csv,,2025-01-18,MATCHED,,
19,2024-04-24,VIREMENT RECU,REF: FAC-2024-62582 - Licence logicielle,,7132.79,Paiement facture FAC-2024-62582,42.0,2025-07-28 15:45:43.025891,releve_202404.csv,,text/csv,,2024-04-24,MATCHED,,
20,2024-06-24,VIREMENT RECU,REF: FAC-2024-22055 - Licence logicielle,,758.89,Paiement facture FAC-2024-22055,48.0,2025-07-28 15:45:43.025891,releve_202406.csv,,text/csv,,2024-06-24,MATCHED,,
21,2025-07-25,VIREMENT RECU,REF: FAC-2025-39836 - Maintenance SaaS,,20214.02,Paiement facture FAC-2025-39836,49.0,2025-07-28 15:45:43.025891,releve_202507.csv,,text/csv,,2025-07-25,MATCHED,,
22,2024-04-20,VIREMENT RECU,REF: FAC-2024-71542 - Hébergement cloud,,30290.6,Paiement facture FAC-2024-71542,52.0,2025-07-28 15:45:43.025891,releve_202404.csv,,text/csv,,2024-04-20,MATCHED,,
23,2025-04-23,VIREMENT RECU,REF: FAC-2025-92644 - Maintenance SaaS,,26710.74,Paiement facture FAC-2025-92644,55.0,2025-07-28 15:45:43.025891,releve_202504.csv,,text/csv,,2025-04-23,MATCHED,,
24,2025-05-12,VIREMENT RECU,REF: FAC-2025-67986 - Formation technique,,13226.31,Paiement facture FAC-2025-67986,56.0,2025-07-28 15:45:43.025891,releve_202505.csv,,text/csv,,2025-05-12,MATCHED,,
25,2024-12-17,VIREMENT RECU,REF: FAC-2024-97393 - Consulting IT,,10952.89,Paiement facture FAC-2024-97393,58.0,2025-07-28 15:45:43.025891,releve_202412.csv,,text/csv,,2024-12-17,MATCHED,,
26,2024-10-22,VIREMENT RECU,REF: FAC-2024-04219 - Licence logicielle,,13543.58,Paiement facture FAC-2024-04219,59.0,2025-07-28 15:45:43.025891,releve_202410.csv,,text/csv,,2024-10-22,MATCHED,,
27,2025-04-25,VIREMENT RECU,REF: FAC-2025-28025 - Formation technique,,23281.34,Paiement facture FAC-2025-28025,61.0,2025-07-28 15:45:43.025891,releve_202504.csv,,text/csv,,2025-04-25,MATCHED,,
28,2024-01-20,VIREMENT RECU,REF: FAC-2023-60183 - Hébergement cloud,,19625.82,Paiement facture FAC-2023-60183,67.0,2025-07-28 15:45:43.025891,releve_202401.csv,,text/csv,,2024-01-20,MATCHED,,
29,2025-05-01,VIREMENT RECU,REF: FAC-2025-31599 - Consulting IT,,1969.24,Paiement facture FAC-2025-31599,72.0,2025-07-28 15:45:43.025891,releve_202505.csv,,text/csv,,2025-05-01,MATCHED,,
30,2023-12-29,VIREMENT RECU,REF: FAC-2023-17677 - Développement logiciel,,8839.58,Paiement facture FAC-2023-17677,73.0,2025-07-28 15:45:43.025891,releve_202312.csv,,text/csv,,2023-12-29,MATCHED,,
31,2023-11-20,VIREMENT RECU,REF: FAC-2023-70868 - Hébergement cloud,,5316.02,Paiement facture FAC-2023-70868,74.0,2025-07-28 15:45:43.025891,releve_202311.csv,,text/csv,,2023-11-20,MATCHED,,
32,2024-03-07,VIREMENT RECU,REF: FAC-2023-87237 - Consulting IT,,2247.66,Paiement facture FAC-2023-87237,77.0,2025-07-28 15:45:43.025891,releve_202403.csv,,text/csv,,2024-03-07,MATCHED,,
33,2024-10-05,VIREMENT RECU,REF: FAC-2024-65560 - Développement logiciel,,5820.18,Paiement facture FAC-2024-65560,79.0,2025-07-28 15:45:43.025891,releve_202410.csv,,text/csv,,2024-10-05,MATCHED,,
34,2025-09-01,VIREMENT RECU,REF: FAC-2025-36350 - Consulting IT,,2921.51,Paiement facture FAC-2025-36350,82.0,2025-07-28 15:45:43.025891,releve_202509.csv,,text/csv,,2025-09-01,MATCHED,,
35,2024-04-03,VIREMENT RECU,REF: FAC-2024-35228 - Maintenance SaaS,,27731.28,Paiement facture FAC-2024-35228,85.0,2025-07-28 15:45:43.025891,releve_202404.csv,,text/csv,,2024-04-03,MATCHED,,
36,2025-08-16,VIREMENT RECU,REF: FAC-2025-62328 - Hébergement cloud,,9078.28,Paiement facture FAC-2025-62328,88.0,2025-07-28 15:45:43.025891,releve_202508.csv,,text/csv,,2025-08-16,MATCHED,,
37,2024-05-01,VIREMENT RECU,REF: FAC-2024-35686 - Formation technique,,14044.51,Paiement facture FAC-2024-35686,90.0,2025-07-28 15:45:43.025891,releve_202405.csv,,text/csv,,2024-05-01,MATCHED,,
38,2025-06-28,VIREMENT RECU,REF: FAC-2025-91958 - Licence logicielle,,903.86,Paiement facture FAC-2025-91958,95.0,2025-07-28 15:45:43.025891,releve_202506.csv,,text/csv,,2025-06-28,MATCHED,,
39,2025-09-18,VIREMENT RECU,REF: FAC-2025-37187 - Consulting IT,,21605.5,Paiement facture FAC-2025-37187,96.0,2025-07-28 15:45:43.025891,releve_202509.csv,,text/csv,,2025-09-18,MATCHED,,
40,2024-09-12,VIREMENT RECU,REF: FAC-2024-73377 - Formation technique,,10313.77,Paiement facture FAC-2024-73377,98.0,2025-07-28 15:45:43.025891,releve_202409.csv,,text/csv,,2024-09-12,MATCHED,,
41,2025-04-05,VIREMENT RECU,REF: FAC-2025-82336 - Licence logicielle,,37038.53,Paiement facture FAC-2025-82336,99.0,2025-07-28 15:45:43.025891,releve_202504.csv,,text/csv,,2025-04-05,MATCHED,,
42,2024-07-05,VIREMENT RECU,REF: FAC-2024-51683 - Hébergement cloud,,13474.52,Paiement facture FAC-2024-51683,102.0,2025-07-28 15:45:43.025891,releve_202407.csv,,text/csv,,2024-07-05,MATCHED,,
43,2024-10-05,VIREMENT RECU,REF: FAC-2024-59728 - Consulting IT,,6852.06,Paiement facture FAC-2024-59728,106.0,2025-07-28 15:45:43.025891,releve_202410.csv,,text/csv,,2024-10-05,MATCHED,,
44,2023-10-19,VIREMENT RECU,REF: FAC-2023-44253 - Licence logicielle,,4483.84,Paiement facture FAC-2023-44253,112.0,2025-07-28 15:45:43.025891,releve_202310.csv,,text/csv,,2023-10-19,MATCHED,,
45,2025-04-16,VIREMENT RECU,REF: FAC-2025-21077 - Hébergement cloud,,4824.49,Paiement facture FAC-2025-21077,113.0,2025-07-28 15:45:43.025891,releve_202504.csv,,text/csv,,2025-04-16,MATCHED,,
