CLIENT_ID,COMPANY_NAME,CLIENT_TYPE,CONTACT_NAME,EMAIL,PHONE,ADDRESS,CITY,POSTAL_CODE,SIRET,CREATED_AT
1,Saint Nicole-la-Forêt Mairie,PUBLIC,Frédéric Joly-Gallet,labbenicole@example.net,+33 (0)5 63 00 13 38,"78, avenue Pruvost, 35928 Saint Marthe",Leblanc-la-Forêt,20320,,2023-06-02
2,Morin S.A.R.L.,PRIVATE,Joseph Barre,susan07@example.net,+33 (0)5 18 18 49 59,"1, rue de Leleu, 37181 Roussel",Lopesdan,81954,255 341 927 00465,2025-02-05
3,Goncalves Conseil Départemental,PUBLIC,Monique Dupuy,mariannegermain@example.org,+33 1 58 56 41 39,"86, chemin Joly, 31862 Tanguy-la-Forêt",Gilbert-sur-Guillon,51470,,2022-06-03
4,Grégoire Lycée,PUBLIC,Bernadette Faivre,massonhonore@example.net,+33 5 63 91 66 97,"2, boulevard de Hamel, 34887 Marie",Gay,20564,,2020-08-01
5,Charrier Lycée,PUBLIC,Philippe Gautier,zoe89@example.org,+33 5 16 28 80 95,"chemin Le Gall, 30159 Duhamel",Saint Nathdan,09878,,2025-02-01
6,Rodriguez Université,PUBLIC,Danielle Aubry,ilecomte@example.net,+33 4 68 65 78 71,"6, boulevard Lenoir, 29702 Robert",Saint MichelBourg,05980,,2023-05-14
7,Buisson S.A.,PRIVATE,Xavier-Patrick Benoit,moniquemasse@example.net,03 81 76 31 16,"17, rue de Bonnet, 51845 Nicolas",Olivier,24649,262 473 176 00572,2025-03-27
8,Saint ManonVille Mairie,PUBLIC,Georges Brun,evallee@example.org,01 81 26 06 47,"472, rue Bertrand Delorme, 94655 Sainte Bertrand",Sainte Constance,67261,,2021-01-14
9,Faure-les-Bains Conseil Départemental,PUBLIC,Théophile Mercier,annemathieu@example.net,+33 1 70 91 69 98,"45, avenue Gilles Leconte, 82407 GomesBourg",Sainte Laurence,72202,,2021-03-06
10,Benoit-la-Forêt Université,PUBLIC,Jérôme Muller,alexandriejacquet@example.org,04 58 98 08 41,"2, boulevard de Meyer, 34388 Lacroix-sur-Wagner",Martins,87749,,2022-10-20
11,Camus-la-Forêt Université,PUBLIC,Benjamin Couturier,cbaron@example.org,0256427868,"rue Morvan, 05954 Guillon",Caronnec,17142,,2023-03-06
12,Fournier Lycée,PUBLIC,Françoise Normand,margothenry@example.com,02 96 32 26 02,"34, rue de Weber, 05979 Louis-sur-Mer",Marty-la-Forêt,29328,,2020-10-03
13,Alexandre Boulanger SARL,PRIVATE,Guillaume Marty,ipotier@example.com,+33 (0)2 49 42 94 01,"96, avenue Verdier, 24360 Sainte Adrien",Tanguy-sur-Mer,46541,595 148 461 00089,2023-05-01
14,Grenier-la-Forêt Hôpital,PUBLIC,Charlotte Olivier-De Oliveira,vlabbe@example.org,0553804436,"47, avenue de Guyon, 21774 Sainte Deniseboeuf",Saint Margot-la-Forêt,28925,,2022-04-01
15,Laurent Lambert S.A.,PRIVATE,Arnaude Pineau,klombard@example.org,07 86 32 01 63,"970, rue Pineau, 18920 Martineauboeuf",Raymondnec,70556,774 348 734 00203,2022-11-22
16,Garnier-la-Forêt Collège,PUBLIC,Grégoire Daniel-Julien,dos-santoshenri@example.org,02 90 31 66 58,"4, avenue Pénélope Mary, 89120 Gillet-sur-Martel",Sainte Théophile,97159,,2024-02-13
17,Letellier-sur-Mer Lycée,PUBLIC,Geneviève Maillard,bvallee@example.com,0553272980,"701, avenue Vidal, 07366 Millet-sur-Mer",Milletboeuf,97258,,2022-12-03
18,Fleury,PRIVATE,Noël Moreau,martymaurice@example.net,+33 (0)1 70 03 30 92,"41, chemin Pauline Tessier, 21720 Letellier-sur-Wagner",Saint ThierryBourg,74126,966 319 311 00397,2023-02-13
19,Moreno SA,PRIVATE,Pénélope Peltier,daniel85@example.org,07 51 65 72 62,"777, boulevard de Royer, 41972 Fernandez",Lebreton,31868,996 507 521 00598,2024-09-13
20,Monnier Poirier SARL,PRIVATE,Théophile-Guillaume Berthelot,blondellaurent@example.org,+33 5 54 78 37 77,"rue Anne Jacquot, 31413 Tessier-sur-Reynaud",Laporteboeuf,54863,557 444 312 00705,2022-03-12
21,Mathieu Conseil Départemental,PUBLIC,Éléonore Olivier-Fabre,ubaron@example.net,0240343524,"124, boulevard Klein, 89229 HenryVille",Jacquet-sur-Lelièvre,61551,,2023-06-15
22,Roux Fleury S.A.R.L.,PRIVATE,Arthur Maréchal,klegrand@example.net,+33 (0)2 85 29 41 31,"993, avenue Capucine Léger, 75539 Colas",Lopez-sur-Bourdon,94201,334 123 288 00972,2021-03-12
23,Bernard Mairie,PUBLIC,Stéphanie Lagarde,cklein@example.org,0434713493,"rue de Jourdan, 20372 Guérin",Saint Sophie,39709,,2025-05-25
24,Navarro,PRIVATE,Nicolas Lagarde,martine64@example.net,05 87 19 06 59,"rue Parent, 73701 Sainte Hortense",Saint Charlotte,66767,429 671 753 00565,2024-01-11
25,Lebrun Préfecture,PUBLIC,Édouard Boulanger,flemonnier@example.com,01 64 71 54 51,"9, avenue Bernard Roche, 66470 Boulay-sur-Didier",SamsonVille,26373,,2025-03-24
26,Hervé Navarro et Fils,PRIVATE,Chantal Leroy,mathildeleroux@example.com,+33 (0)5 54 13 17 12,"58, avenue Charlotte Berger, 58664 Jacob",Joseph,65864,146 584 040 00175,2023-02-04
27,Gérard,PRIVATE,Valérie Barre,francoise86@example.com,0345396360,"76, rue de Costa, 05229 Mauryboeuf",Sainte Eugènedan,02839,621 745 967 00185,2021-03-28
28,Parent Lycée,PUBLIC,Monique Prévost-Toussaint,callard@example.net,+33 (0)3 75 43 16 11,"10, rue Théodore Pelletier, 47541 Moulin",Bouchet-les-Bains,21279,,2021-03-24
29,Legendre,PRIVATE,Paul Guillon-Meunier,celinadiaz@example.com,03 87 07 48 21,"546, chemin Louis Jacob, 61209 Weber",Pelletier-sur-Bruneau,37816,064 090 970 00373,2022-12-28
